Date,Israeli_Lines_MWs,Gaza_Power_Plant_MWs,Egyptian_Lines_MWs,Total_daily_Supply_available_in_MWs,Overall_demand_in_MWs,Power_Cuts_hours_day_400mg,Temp
2017-01-01,120,45,0,165,450,8,11
2017-01-02,120,45,0,165,450,8,11
2017-01-03,120,50,0,170,450,9,11
2017-01-04,120,50,0,170,450,9,10
2017-01-05,120,50,0,170,450,9,10
2017-01-06,120,50,0,170,450,9,12
2017-01-07,120,27,0,147,450,7,13
2017-01-08,120,27,0,147,450,7,13
2017-01-09,120,50,10,180,450,9,14
2017-01-10,120,50,0,170,450,9,14
2017-01-11,108,50,0,158,450,8,14
2017-01-12,120,45,0,165,450,8,14
2017-01-13,120,45,0,165,450,8,13
2017-01-14,120,45,0,165,450,8,13
2017-01-15,120,45,0,165,450,8,13
2017-01-16,120,50,0,170,450,9,13
2017-01-17,120,50,0,170,450,9,12
2017-01-18,120,50,0,170,450,9,11
2017-01-19,120,80,0,200,450,10,11
2017-01-20,120,80,0,200,450,10,14
2017-01-21,120,80,20,220,450,11,15
2017-01-22,120,80,20,220,450,11,15.5
2017-01-23,120,80,20,220,450,11,14
2017-01-24,120,80,20,220,450,11,14
2017-01-25,120,80,20,220,450,11,13
2017-01-26,120,80,20,220,450,11,11
2017-01-27,120,80,20,220,450,11,11
2017-01-28,120,80,20,220,450,11,13
2017-01-29,120,80,10,210,450,11,13
2017-01-30,120,80,10,210,450,11,14
2017-01-31,120,80,10,210,450,11,14
2017-02-01,120,80,10,210,450,11,14
2017-02-02,120,80,10,210,450,11,14
2017-02-03,120,80,10,210,450,11,16
2017-02-04,120,80,20,220,450,11,16
2017-02-05,120,80,20,220,450,11,17
2017-02-06,120,80,20,220,450,11,17
2017-02-07,120,80,20,220,450,11,15
2017-02-08,120,80,10,210,450,11,16
2017-02-09,120,80,10,210,450,11,17
2017-02-10,120,80,10,210,450,11,16
2017-02-11,120,55,20,195,450,10,16
2017-02-12,120,55,20,195,450,10,17
2017-02-13,120,55,20,195,450,10,16
2017-02-14,120,55,20,195,450,10,16
2017-02-15,120,55,20,195,450,10,16
2017-02-16,120,55,0,175,450,9,17
2017-02-17,120,55,0,175,450,9,10
2017-02-18,120,67,0,187,450,9,16
2017-02-19,120,65,0,185,450,9,15
2017-02-20,120,65,0,185,450,9,17
2017-02-21,120,55,0,175,450,9,16
2017-02-22,120,55,0,175,450,9,17
2017-02-23,120,55,20,195,450,10,18
2017-02-24,120,55,20,195,450,10,18
2017-02-25,120,55,20,195,450,10,17
2017-02-26,108,55,20,183,450,9,20
2017-02-27,108,55,20,183,450,9,19
2017-02-28,120,55,20,195,450,10,19
2017-03-01,120,55,20,195,450,10,19
2017-03-02,120,74,0,194,450,10,17
2017-03-03,120,74,0,194,450,10,21
2017-03-04,120,74,0,194,450,10,24
2017-03-05,120,70,0,190,450,10,21
2017-03-06,120,70,0,190,450,10,20
2017-03-07,120,70,0,190,450,10,20
2017-03-08,120,53,10,183,450,9,21
2017-03-09,120,53,20,193,450,10,21
2017-03-10,120,53,20,193,450,10,20
2017-03-11,120,53,20,193,450,10,19
2017-03-12,120,53,20,193,450,10,19
2017-03-13,120,53,20,193,450,10,20
2017-03-14,120,50,20,190,450,10,20
2017-03-15,120,50,20,190,450,10,19
2017-03-16,96,51,20,167,450,8,19
2017-03-17,96,51,20,167,450,8,18
2017-03-18,120,50,20,190,450,10,20
2017-03-19,120,50,20,190,450,10,20
2017-03-20,120,50,20,190,450,10,21
2017-03-21,120,50,0,170,450,9,20
2017-03-22,120,50,0,170,450,9,23
2017-03-23,120,50,0,170,450,9,27
2017-03-24,120,50,0,170,450,9,21
2017-03-25,108,50,0,158,450,8,20
2017-03-26,120,50,0,170,450,9,21
2017-03-27,120,50,0,170,450,9,21
2017-03-28,120,50,0,170,450,9,22
2017-03-29,120,50,0,170,450,9,21
2017-03-30,120,50,0,170,450,9,22
2017-03-31,120,50,0,170,450,9,20
2017-04-01,120,50,0,170,450,9,20
2017-04-02,120,50,0,170,450,9,20
2017-04-03,120,50,10,180,450,9,18
2017-04-04,120,50,10,180,450,9,19
2017-04-05,120,50,10,180,450,9,21
2017-04-06,120,50,13,183,450,9,20
2017-04-07,120,50,13,183,450,9,21
2017-04-08,120,50,0,170,450,9,22
2017-04-09,120,50,0,170,450,9,21
2017-04-10,120,50,0,170,450,9,22
2017-04-11,120,30,23,173,450,9,20
2017-04-12,120,30,23,173,450,9,21
2017-04-13,120,23,23,166,450,8,22
2017-04-14,120,23,23,166,450,8,20
2017-04-15,120,23,23,166,450,8,21
2017-04-16,120,0,23,143,450,7,22
2017-04-17,120,0,13,133,450,7,24
2017-04-18,120,0,13,133,450,7,24
2017-04-19,120,0,13,133,450,7,22
2017-04-20,120,0,0,120,450,6,21
2017-04-21,120,0,0,120,450,6,22
2017-04-22,120,0,23,143,450,7,22
2017-04-23,108,0,23,131,450,6,21
2017-04-24,108,0,23,131,450,6,22
2017-04-25,120,0,0,120,450,6,20
2017-04-26,120,0,0,120,450,6,21
2017-04-27,120,0,0,120,450,6,21
2017-04-28,120,0,0,120,450,6,20
2017-04-29,120,0,0,120,450,6,21
2017-04-30,120,0,0,120,450,6,25
2017-05-01,120,0,0,120,450,6,26
2017-05-02,120,0,0,120,450,6,27
2017-05-03,120,0,0,120,450,6,28
2017-05-04,120,0,0,120,450,6,26
2017-05-05,120,0,0,120,450,6,23
2017-05-06,120,0,0,120,450,6,25
2017-05-07,120,0,0,120,450,6,23
2017-05-08,120,0,13,133,450,7,23
2017-05-09,120,0,13,133,450,7,22
2017-05-10,120,0,23,143,450,7,24
2017-05-11,120,0,23,143,450,7,25
2017-05-12,120,0,23,143,450,7,26
2017-05-13,120,0,0,120,450,6,23
2017-05-14,120,0,0,120,450,6,24
2017-05-15,120,0,0,120,450,6,23
2017-05-16,120,0,3,123,450,6,22
2017-05-17,120,0,23,143,450,7,23
2017-05-18,120,0,16,136,450,7,26
2017-05-19,120,0,16,136,450,7,26
2017-05-20,120,0,0,120,450,6,25
2017-05-21,120,0,0,120,450,6,26
2017-05-22,120,0,0,120,450,6,28
2017-05-23,120,0,0,120,450,6,25
2017-05-24,120,0,0,120,450,6,23
2017-05-25,120,0,0,120,450,6,26
2017-05-26,120,0,0,120,450,6,27
2017-05-27,120,0,0,120,450,6,26
2017-05-28,108,0,10,118,450,6,27
2017-05-29,120,0,18,138,450,7,25
2017-05-30,120,0,13,133,450,7,26
2017-05-31,120,0,0,120,450,6,25
2017-06-01,120,0,0,120,450,6,27
2017-06-02,120,0,0,120,450,6,26
2017-06-03,120,0,3,123,450,6,26
2017-06-04,120,0,0,120,450,6,27
2017-06-05,120,0,0,120,450,6,26
2017-06-06,120,0,0,120,450,6,27
2017-06-07,120,0,0,120,450,6,26
2017-06-08,120,0,0,120,450,6,25
2017-06-09,120,0,0,120,450,6,27
2017-06-10,120,0,23,143,450,7,28
2017-06-11,120,0,23,143,450,7,27
2017-06-12,120,0,23,143,450,7,27
2017-06-13,120,0,13,133,450,7,26
2017-06-14,120,0,0,120,450,6,27
2017-06-15,120,0,23,143,450,7,36
2017-06-16,120,0,23,143,450,7,38
2017-06-17,120,0,3,123,450,6,36
2017-06-18,120,0,0,120,450,6,31
2017-06-19,112,0,0,112,450,5,31
2017-06-20,100,0,0,100,450,5,33
2017-06-21,88,55,20,163,450,8,31
2017-06-22,72,55,20,147,450,7,30
2017-06-23,72,55,20,147,450,7,31
2017-06-24,72,55,20,147,450,7,31
2017-06-25,72,55,20,147,450,7,31
2017-06-26,72,55,20,147,450,7,30
2017-06-27,72,55,20,147,450,7,29
2017-06-28,72,55,20,147,450,7,30
2017-06-29,72,45,23,140,450,7,28
2017-06-30,72,45,23,140,450,7,30
2017-07-01,80,65,0,145,450,7,30
2017-07-02,80,65,0,145,450,7,31
2017-07-03,80,65,13,158,450,8,32
2017-07-04,72,65,13,150,450,8,31
2017-07-05,80,65,13,158,450,8,35
2017-07-06,70,65,0,135,450,7,37
2017-07-07,70,45,0,115,450,6,36
2017-07-08,70,23,0,93,450,4,35
2017-07-09,70,20,0,90,450,4,34
2017-07-10,70,42,0,112,450,5,35
2017-07-11,70,22,0,92,450,4,33
2017-07-12,70,18,0,88,450,4,31
2017-07-13,70,0,0,70,450,3,34
2017-07-14,70,70,3,143,450,7,35
2017-07-15,70,70,0,140,450,7,37
2017-07-16,70,70,0,140,450,7,33
2017-07-17,70,70,0,140,450,7,35
2017-07-18,70,68,0,138,450,7,36
2017-07-19,70,68,0,138,450,7,35
2017-07-20,70,24,0,94,450,5,35
2017-07-21,70,45,0,115,450,6,33
2017-07-22,70,65,0,135,450,7,35
2017-07-23,70,65,0,135,450,7,36
2017-07-24,70,65,0,135,450,7,35
2017-07-25,70,65,0,135,450,7,38
2017-07-26,70,65,0,135,450,7,36
2017-07-27,70,65,0,135,450,7,33
2017-07-28,70,65,0,135,450,7,35
2017-07-29,70,65,0,135,450,7,35
2017-07-30,70,65,0,135,450,7,34
2017-07-31,70,65,0,135,450,7,32
2017-08-01,70,65,0,135,450,7,31
2017-08-02,70,65,0,135,450,7,32
2017-08-03,70,65,0,135,450,7,31
2017-08-04,70,65,0,135,450,7,33
2017-08-05,70,65,0,135,450,7,34
2017-08-06,70,65,0,135,450,7,35
2017-08-07,70,65,0,135,450,7,34
2017-08-08,70,65,0,135,450,7,35
2017-08-09,70,65,0,135,450,7,35
2017-08-10,70,65,0,135,450,7,36
2017-08-11,70,65,0,135,450,7,37
2017-08-12,70,43,0,113,450,6,36
2017-08-13,70,24,0,94,450,5,38
2017-08-14,70,24,0,94,450,5,36
2017-08-15,70,24,0,94,450,5,35
2017-08-16,70,24,0,94,450,5,36
2017-08-17,70,43,0,113,450,6,35
2017-08-18,70,43,0,113,450,6,33
2017-08-19,70,43,0,113,450,6,34
2017-08-20,70,43,0,113,450,6,34
2017-08-21,70,43,0,113,450,6,33
2017-08-22,70,43,0,113,450,6,32
2017-08-23,70,43,0,113,450,6,33
2017-08-24,70,43,0,113,450,6,34
2017-08-25,70,43,0,113,450,6,33
2017-08-26,70,65,0,135,450,7,32
2017-08-27,70,65,0,135,450,7,32
2017-08-28,70,65,0,135,450,7,34
2017-08-29,70,65,0,135,450,7,34
2017-08-30,70,65,0,135,450,7,32
2017-08-31,70,65,13,148,450,7,31
2017-09-01,70,65,13,148,450,7,33
2017-09-02,70,65,13,148,450,7,34
2017-09-03,70,65,13,148,450,7,34
2017-09-04,70,65,13,148,450,7,34
2017-09-05,70,67,13,150,450,8,33
2017-09-06,70,67,23,150,450,8,33
2017-09-07,70,67,0,137,450,7,32
2017-09-08,70,67,0,137,450,7,32
2017-09-09,70,67,0,137,450,7,33
2017-09-10,70,67,0,137,450,7,32
2017-09-11,70,67,23,160,450,8,33
2017-09-12,70,67,23,160,450,8,33
2017-09-13,70,67,23,160,450,8,32
2017-09-14,70,67,0,137,450,7,33
2017-09-15,70,23,0,93,450,4,32
2017-09-16,70,45,0,115,450,6,31
2017-09-17,70,67,23,160,450,8,31
2017-09-18,70,67,13,150,450,8,31
2017-09-19,70,67,4,141,450,7,31
2017-09-20,70,67,4,141,450,7,31
2017-09-21,70,45,0,115,450,6,30
2017-09-22,70,45,22,137,450,7,30
2017-09-23,70,46,22,138,450,7,30
2017-09-24,70,45,23,138,450,7,31
2017-09-25,70,45,14,129,450,6,30
2017-09-26,64,45,20,129,450,6,31
2017-09-27,63,45,24,132,450,7,31
2017-09-28,63,45,24,132,450,7,31
2017-09-29,63,45,24,132,450,7,30
2017-09-30,70,45,24,139,450,7,31
2017-10-01,70,45,24,139,450,7,32
2017-10-02,70,45,24,139,450,7,32
2017-10-03,63,50,0,113,450,6,31
2017-10-04,70,50,0,120,450,6,30
2017-10-05,70,46,8,124,450,6,30
2017-10-06,70,46,8,124,450,6,30
2017-10-07,70,46,0,116,450,6,29
2017-10-08,70,46,23,139,450,7,29
2017-10-09,70,46,23,139,450,7,29
2017-10-10,70,46,23,139,450,7,28
2017-10-11,70,23,23,116,450,6,28
2017-10-12,70,46,23,139,450,7,29
2017-10-13,70,46,23,139,450,7,28
2017-10-14,70,46,19,135,450,7,28
2017-10-15,70,46,19,135,450,7,28
2017-10-16,70,46,0,116,450,6,28
2017-10-17,70,50,0,120,450,6,29
2017-10-18,70,50,0,120,450,6,29
2017-10-19,70,50,0,120,450,6,28
2017-10-20,70,50,0,120,450,6,28
2017-10-21,70,50,0,120,450,6,30
2017-10-22,70,55,0,125,450,6,32
2017-10-23,70,55,0,125,450,6,32
2017-10-24,70,55,0,125,450,6,30
2017-10-25,70,55,0,125,450,6,26
2017-10-26,56,55,0,111,450,5,24
2017-10-27,70,50,0,120,450,6,25
2017-10-28,70,50,0,120,450,6,25
2017-10-29,70,50,0,120,450,6,27
2017-10-30,70,50,20,140,450,7,27
2017-10-31,70,50,20,140,450,7,28
2017-11-01,70,50,10,130,450,6,27
2017-11-02,70,50,20,140,450,7,26
2017-11-03,70,50,20,140,450,7,25
2017-11-04,70,50,20,140,450,7,25
2017-11-05,70,50,20,140,450,7,24
2017-11-06,70,50,23,143,450,7,23
2017-11-07,70,50,23,143,450,7,24
2017-11-08,70,50,0,120,450,6,24
2017-11-09,70,50,0,120,450,6,24
2017-11-10,70,50,23,143,450,7,24
2017-11-11,70,50,23,143,450,7,24
2017-11-12,70,45,0,115,450,6,24
2017-11-13,70,54,23,147,450,7,24
2017-11-14,70,54,23,147,450,7,23
2017-11-15,70,54,23,147,450,7,23
2017-11-16,70,54,23,147,450,7,24
2017-11-17,70,54,23,147,450,7,24
2017-11-18,70,54,23,147,450,7,24
2017-11-19,70,50,23,143,450,7,23
2017-11-20,70,50,23,143,450,7,22
2017-11-21,70,50,23,143,450,7,22
2017-11-22,70,50,20,140,450,7,22
2017-11-23,70,50,23,143,450,7,20
2017-11-24,70,50,0,120,450,6,20
2017-11-25,70,28,0,98,450,5,20
2017-11-26,70,58,0,128,450,6,20
2017-11-27,70,58,0,128,450,6,22
2017-11-28,70,57,0,127,450,6,24
2017-11-29,70,57,0,127,450,6,22
2017-11-30,70,56,0,126,450,6,22
2017-12-01,70,56,0,126,450,6,22
2017-12-02,70,56,0,126,450,6,21
2017-12-03,70,55,0,125,450,6,21
2017-12-04,70,55,0,125,450,6,21
2017-12-05,70,55,0,125,450,6,20
2017-12-06,70,56,0,126,450,6,18
2017-12-07,70,56,0,126,450,6,17
2017-12-08,70,56,0,126,450,6,18
2017-12-09,70,54,0,124,450,6,19
2017-12-10,70,54,0,124,450,6,20
2017-12-11,70,54,0,124,450,6,20
2017-12-12,70,25,0,95,450,5,19
2017-12-13,70,25,0,95,450,5,19
2017-12-14,70,25,0,95,450,5,19
2017-12-15,70,54,0,124,450,6,20
2017-12-16,70,54,0,124,450,6,21
2017-12-17,70,54,20,144,450,7,20
2017-12-18,63,60,4,127,450,6,20
2017-12-19,70,55,0,125,450,6,19
2017-12-20,68,55,4,127,450,6,17
2017-12-21,68,55,0,123,450,6,18
2017-12-22,70,55,14,139,450,7,18
2017-12-23,70,55,0,125,450,6,19
2017-12-24,70,55,0,125,450,6,20
2017-12-25,70,55,0,125,450,6,20
2017-12-26,70,55,14,139,450,7,20
2017-12-27,70,55,0,125,450,6,17
2017-12-28,70,55,14,139,450,7,16
2017-12-29,70,55,14,139,450,7,16
2017-12-30,70,55,14,139,450,7,15
2017-12-31,70,55,14,139,450,7,17
2018-01-01,70,55,14,139,651,5,11
2018-01-02,70,55,14,139,642,5,11
2018-01-03,70,55,14,139,651,5,11
2018-01-04,70,55,0,125,654,4,10
2018-01-05,70,55,0,125,654,4,10
2018-01-06,70,55,0,125,636,4,12
2018-01-07,70,55,4,129,552,5,13
2018-01-08,120,55,4,179,563,7,13
2018-01-09,120,55,13,188,563,8,14
2018-01-10,120,56,14,190,556,8,14
2018-01-11,120,56,14,190,551,8,14
2018-01-12,120,56,14,190,539,8,14
2018-01-13,120,56,24,200,516,9,13
2018-01-14,120,56,24,200,532,9,13
2018-01-15,120,56,24,200,536,8,13
2018-01-16,120,56,24,200,539,8,13
2018-01-17,120,25,19,164,549,7,12
2018-01-18,120,25,14,159,548,6,11
2018-01-19,108,48,0,156,577,6,11
2018-01-20,120,58,0,178,558,7,14
2018-01-21,120,58,14,192,547,8,15
2018-01-22,120,25,24,169,531,7,15.5
2018-01-23,120,25,24,169,546,7,14
2018-01-24,120,25,24,169,543,7,14
2018-01-25,120,25,24,169,549,7,13
2018-01-26,120,25,24,169,559,7,11
2018-01-27,108,25,14,147,621,5,11
2018-01-28,120,25,14,159,608,6,13
2018-01-29,120,25,14,159,608,6,13
2018-01-30,120,25,14,159,591,6,14
2018-01-31,120,25,14,159,561,6,14
2018-02-01,120,25,0,145,560,6,14
2018-02-02,120,25,0,145,556,6,14
2018-02-03,120,25,0,145,558,6,16
2018-02-04,120,25,14,159,558,6,16
2018-02-05,120,25,14,159,521,7,17
2018-02-06,120,25,4,149,474,7,17
2018-02-07,120,25,4,149,509,7,15
2018-02-08,120,25,24,169,524,7,16
2018-02-09,120,25,24,169,503,8,17
2018-02-10,120,25,24,169,514,7,16
2018-02-11,120,25,0,145,571,6,16
2018-02-12,120,25,0,145,595,5,17
2018-02-13,120,25,0,145,578,6,16
2018-02-14,120,25,0,145,567,6,16
2018-02-15,120,0,0,120,591,4,16
2018-02-16,120,0,0,120,567,5,17
2018-02-17,120,0,0,120,628,4,10
2018-02-18,120,0,0,120,603,4,16
2018-02-19,120,25,0,145,583,5,15
2018-02-20,120,25,0,145,579,6,17
2018-02-21,120,25,0,145,558,6,16
2018-02-22,120,0,0,120,533,5,17
2018-02-23,120,0,0,120,600,4,18
2018-02-24,120,0,0,120,572,5,18
2018-02-25,120,25,0,145,563,6,17
2018-02-26,120,25,0,145,546,6,20
2018-02-27,120,25,0,145,542,6,19
2018-02-28,120,25,0,145,548,6,19
2018-03-01,120,25,0,145,559,6,19
2018-03-02,120,25,0,145,545,6,17
2018-03-03,120,25,0,145,536,6,21
2018-03-04,120,25,0,145,531,6,24
2018-03-05,120,25,0,145,524,6,21
2018-03-06,120,25,0,145,507,6,20
2018-03-07,120,25,0,145,504,6,20
2018-03-08,120,25,0,145,504,6,21
2018-03-09,120,25,0,145,508,6,21
2018-03-10,120,25,0,145,524,6,20
2018-03-11,120,25,0,145,516,6,19
2018-03-12,120,25,0,145,509,6,19
2018-03-13,120,25,0,145,501,6,20
2018-03-14,120,25,0,145,494,7,20
2018-03-15,120,25,0,145,502,6,19
2018-03-16,120,25,0,145,506,6,19
2018-03-17,120,25,0,145,512,6,18
2018-03-18,120,25,0,145,506,6,20
2018-03-19,120,25,0,145,514,6,20
2018-03-20,120,23,0,143,514,6,21
2018-03-21,120,23,0,143,513,6,20
2018-03-22,120,23,0,143,521,6,23
2018-03-23,120,23,0,143,517,6,27
2018-03-24,120,23,0,143,510,6,21
2018-03-25,120,0,0,120,590,4,20
2018-03-26,120,0,0,120,575,5,21
2018-03-27,120,23,0,143,560,6,21
2018-03-28,120,23,0,143,565,6,22
2018-03-29,120,25,0,145,553,6,21
2018-03-30,120,23,0,143,525,6,22
2018-03-31,120,23,0,143,511,6,20
2018-04-01,120,23,0,143,539,6,20
2018-04-02,120,23,0,143,535,6,20
2018-04-03,120,23,0,143,516,6,18
2018-04-04,120,23,0,143,514,6,19
2018-04-05,120,23,0,143,529,6,21
2018-04-06,120,23,0,143,522,6,20
2018-04-07,108,23,0,131,532,5,21
2018-04-08,120,23,0,143,521,6,22
2018-04-09,120,23,0,143,512,6,21
2018-04-10,120,23,0,143,512,6,22
2018-04-11,120,23,0,143,522,6,20
2018-04-12,120,23,0,143,538,6,21
2018-04-13,120,0,0,120,603,4,22
2018-04-14,120,0,0,120,605,4,20
2018-04-15,120,0,0,120,597,4,21
2018-04-16,120,0,0,120,599,4,22
2018-04-17,120,0,0,120,584,4,24
2018-04-18,120,0,0,120,565,5,24
2018-04-19,120,0,0,120,551,5,22
2018-04-20,120,0,0,120,540,5,21
2018-04-21,120,0,0,120,529,5,22
2018-04-22,108,0,0,108,542,4,22
2018-04-23,120,0,0,120,558,5,21
2018-04-24,120,0,0,120,546,5,22
2018-04-25,120,0,0,120,542,5,20
2018-04-26,120,0,0,120,531,5,21
2018-04-27,120,0,0,120,524,5,21
2018-04-28,120,0,0,120,517,5,20
2018-04-29,120,0,0,120,522,5,21
2018-04-30,120,0,0,120,524,5,25
2018-05-01,120,0,0,120,508,5,26
2018-05-02,94,0,0,94,514,4,27
2018-05-03,116,0,0,116,525,5,28
2018-05-04,120,0,0,120,514,5,26
2018-05-05,120,0,0,120,527,5,23
2018-05-06,120,0,0,120,537,5,25
2018-05-07,120,0,0,120,532,5,23
2018-05-08,108,0,0,108,538,4,23
2018-05-09,120,0,0,120,524,5,22
2018-05-10,120,0,0,120,518,5,24
2018-05-11,120,0,0,120,514,5,25
2018-05-12,120,0,0,120,527,5,26
2018-05-13,120,0,0,120,525,5,23
2018-05-14,120,0,0,120,526,5,24
2018-05-15,120,0,0,120,517,5,23
2018-05-16,120,0,0,120,522,5,22
2018-05-17,120,0,0,120,533,5,23
2018-05-18,120,0,0,120,526,5,26
2018-05-19,120,0,0,120,529,5,26
2018-05-20,120,0,0,120,523,5,25
2018-05-21,120,0,0,120,525,5,26
2018-05-22,120,0,0,120,524,5,28
2018-05-23,108,0,0,108,524,4,25
2018-05-24,108,0,0,108,516,5,23
2018-05-25,120,0,0,120,519,5,26
2018-05-26,120,0,0,120,515,5,27
2018-05-27,120,0,0,120,510,5,26
2018-05-28,120,0,0,120,500,5,27
2018-05-29,120,0,0,120,530,5,25
2018-05-30,84,16,0,100,524,4,26
2018-05-31,84,20,0,104,521,4,25
2018-06-01,113,20,0,133,521,6,27
2018-06-02,113,21,0,134,518,6,26
2018-06-03,99,21,0,120,519,5,26
2018-06-04,111,21,0,132,521,6,27
2018-06-05,111,21,0,132,522,6,26
2018-06-06,111,0,0,111,526,5,27
2018-06-07,99,0,0,99,530,4,26
2018-06-08,120,0,0,120,516,5,25
2018-06-09,120,0,0,120,515,5,27
2018-06-10,120,0,0,120,518,5,28
2018-06-11,120,0,0,120,515,5,27
2018-06-12,120,0,0,120,517,5,27
2018-06-13,120,0,0,120,525,5,26
2018-06-14,120,0,0,120,523,5,27
2018-06-15,120,0,0,120,511,5,36
2018-06-16,120,0,0,120,515,5,38
2018-06-17,120,0,0,120,517,5,36
2018-06-18,120,0,0,120,518,5,31
2018-06-19,120,0,0,120,522,5,31
2018-06-20,120,0,0,120,518,5,33
2018-06-21,120,20,0,140,512,6,31
2018-06-22,120,20,0,140,503,6,30
2018-06-23,108,20,0,128,511,6,31
2018-06-24,120,20,0,140,521,6,31
2018-06-25,120,20,0,140,513,6,31
2018-06-26,120,20,0,140,521,6,30
2018-06-27,120,20,0,140,519,6,29
2018-06-28,120,20,0,140,517,6,30
2018-06-29,120,20,0,140,509,6,28
2018-06-30,120,20,0,140,518,6,30
2018-07-01,120,20,0,140,517,6,30
2018-07-02,120,20,0,140,528,6,31
2018-07-03,120,20,0,140,522,6,32
2018-07-04,120,20,0,140,517,6,31
2018-07-05,120,20,0,140,512,6,35
2018-07-06,120,20,0,140,519,6,37
2018-07-07,120,20,0,140,513,6,36
2018-07-08,120,20,0,140,517,6,35
2018-07-09,108,20,0,128,536,5,34
2018-07-10,109,20,0,129,531,5,35
2018-07-11,118,20,0,138,537,6,33
2018-07-12,118,20,0,138,529,6,31
2018-07-13,118,20,0,138,520,6,34
2018-07-14,118,20,0,138,515,6,35
2018-07-15,106,20,0,126,520,5,37
2018-07-16,118,20,0,138,524,6,33
2018-07-17,118,20,0,138,530,6,35
2018-07-18,118,20,0,138,522,6,36
2018-07-19,118,20,0,138,529,6,35
2018-07-20,118,20,0,138,521,6,35
2018-07-21,108,20,0,128,523,5,33
2018-07-22,108,20,0,128,534,5,35
2018-07-23,108,0,0,108,549,4,36
2018-07-24,120,0,0,120,539,5,35
2018-07-25,120,0,0,120,523,5,38
2018-07-26,120,8,0,128,529,5,36
2018-07-27,120,20,0,140,523,6,33
2018-07-28,120,20,0,140,531,6,35
2018-07-29,120,20,0,140,536,6,35
2018-07-30,120,20,0,140,540,6,34
2018-07-31,120,23,0,143,536,6,32
2018-08-01,120,23,0,143,525,6,31
2018-08-02,120,23,0,143,535,6,32
2018-08-03,120,23,0,143,520,6,31
2018-08-04,120,23,0,143,531,6,33
2018-08-05,120,23,0,143,540,6,34
2018-08-06,120,23,0,143,533,6,35
2018-08-07,120,23,0,143,538,6,34
2018-08-08,120,23,0,143,538,6,35
2018-08-09,108,23,0,131,546,5,35
2018-08-10,120,23,0,143,532,6,36
2018-08-11,120,23,0,143,551,6,37
2018-08-12,120,23,0,143,533,6,36
2018-08-13,120,23,0,143,541,6,38
2018-08-14,120,23,0,143,533,6,36
2018-08-15,120,23,0,143,546,6,35
2018-08-16,120,23,0,143,538,6,36
2018-08-17,120,23,0,143,530,6,35
2018-08-18,120,23,0,143,540,6,33
2018-08-19,120,23,0,143,542,6,34
2018-08-20,120,23,0,143,534,6,34
2018-08-21,120,23,0,143,521,6,33
2018-08-22,120,23,0,143,519,6,32
2018-08-23,120,23,0,143,528,6,33
2018-08-24,120,23,0,143,531,6,34
2018-08-25,120,23,0,143,534,6,33
2018-08-26,120,23,0,143,530,6,32
2018-08-27,120,23,0,143,523,6,32
2018-08-28,120,23,0,143,539,6,34
2018-08-29,120,23,0,143,540,6,34
2018-08-30,120,23,0,143,546,6,32
2018-08-31,120,23,0,143,543,6,31
2018-09-01,120,23,0,143,546,6,33
2018-09-02,120,23,0,143,555,6,34
2018-09-03,120,21,0,141,556,6,34
2018-09-04,120,21,0,141,554,6,34
2018-09-05,120,21,0,141,550,6,33
2018-09-06,120,21,0,141,539,6,33
2018-09-07,120,21,0,141,529,6,32
2018-09-08,120,21,0,141,527,6,32
2018-09-09,120,21,0,141,528,6,33
2018-09-10,120,21,0,141,519,6,32
2018-09-11,120,21,0,141,538,6,33
2018-09-12,120,21,0,141,550,6,33
2018-09-13,120,21,0,141,524,6,32
2018-09-14,120,21,0,141,528,6,33
2018-09-15,120,21,0,141,533,6,32
2018-09-16,120,21,0,141,532,6,31
2018-09-17,120,21,0,141,534,6,31
2018-09-18,120,21,0,141,541,6,31
2018-09-19,120,21,0,141,526,6,31
2018-09-20,120,21,0,141,537,6,31
2018-09-21,120,21,0,141,538,6,30
2018-09-22,120,21,0,141,529,6,30
2018-09-23,120,21,0,141,521,6,30
2018-09-24,108,21,0,129,530,5,31
2018-09-25,120,21,0,141,503,6,30
2018-09-26,120,21,0,141,522,6,31
2018-09-27,120,21,0,141,546,6,31
2018-09-28,120,21,0,141,495,6,31
2018-09-29,120,21,0,141,505,6,30
2018-09-30,120,21,0,141,537,6,31
2018-10-01,120,21,0,141,545,6,32
2018-10-02,120,21,0,141,547,6,32
2018-10-03,120,21,0,141,532,6,31
2018-10-04,120,21,0,141,519,6,30
2018-10-05,120,21,0,141,527,6,30
2018-10-06,120,21,0,141,533,6,30
2018-10-07,120,21,0,141,519,6,29
2018-10-08,120,21,0,141,528,6,29
2018-10-09,120,21,0,141,529,6,29
2018-10-10,120,21,0,141,502,6,28
2018-10-11,120,21,0,141,544,6,28
2018-10-12,120,21,0,141,541,6,29
2018-10-13,120,21,0,141,503,6,28
2018-10-14,120,21,0,141,523,6,28
2018-10-15,120,21,0,141,525,6,28
2018-10-16,120,21,0,141,491,6,28
2018-10-17,120,21,0,141,505,6,29
2018-10-18,120,21,0,141,511,6,29
2018-10-19,120,21,0,141,485,6,28
2018-10-20,120,21,0,141,526,6,28
2018-10-21,120,21,0,141,528,6,30
2018-10-22,120,21,0,141,508,6,32
2018-10-23,120,21,0,141,529,6,32
